PHRASE	WORDS_COUNT	FREQUENCY	SYNSETS
graphically	1	3	124038 all 310847 all 132797 all
immediately	1	3	504043 all 504153 all 48739 all
monstrously	1	3	356765 all 351542 all 355747 all
necessarily	1	3	408205 all 112393 all 408375 all
offensively	1	3	306682 all 306909 all 307333 all
organically	1	3	113311 all 113582 all 113722 all
practically	1	3	22829 all 53744 all 53512 all
technically	1	3	126837 all 126972 all 127130 all
temperately	1	3	475469 all 264555 all 475591 all
unnaturally	1	3	488579 all 38767 all 140566 all
accidentally	1	3	62650 all 212411 all 40547 all
decisively	1	3	298266 all 298765 all 298413 all
devilishly	1	3	302120 all 308916 all 46639 all
distinctly	1	3	307479 all 181901 all 307639 all
hopelessly	1	3	317766 all 200614 all 200392 all
lifelessly	1	3	304898 all 389299 all 389183 all
originally	1	3	431941 all 154725 all 167286 all
peculiarly	1	3	84223 all 248488 all 35491 all
precisely	1	3	368663 all 158309 all 368287 all
regularly	1	3	195024 all 331461 all 331817 all
severally	1	3	137915 all 207668 all 450647 all
slam-bang	1	3	457288 all 457428 all 457545 all
altogether	1	3	8007 all 151755 all 63630 all
carelessly	1	3	282444 all 164150 all 221130 all
severely	1	3	91778 all 241093 all 15953 all
sidelong	1	3	453580 all 453852 all 453720 all
sidewise	1	3	454031 all 454210 all 454344 all
sky-high	1	3	456320 all 456484 all 456610 all
straight	1	3	51848 all 58128 all 509432 all
strictly	1	3	225410 all 179112 all 469302 all
suddenly	1	3	61528 all 171135 all 61677 all
unawares	1	3	483647 all 452624 all 483850 all
unevenly	1	3	331594 all 439125 all 332365 all
compactly	1	3	290308 all 287601 all 300002 all
furiously	1	3	224147 all 224418 all 224280 all
generally	1	3	155621 all 41954 all 221583 all
hereafter	1	3	32996 all 33139 all 355896 all
starkly	1	3	465418 all 465647 all 465519 all
artfully	1	3	293926 all 245953 all 315595 all
backward	1	3	75966 all 74201 all 74407 all
bitterly	1	3	422435 all 52882 all 52762 all
headlong	1	3	354642 all 354527 all 354938 all
likewise	1	3	69672 all 138060 all 47534 all
outright	1	3	33421 all 97731 all 97620 all
promptly	1	3	105341 all 105603 all 105467 all
raggedly	1	3	438846 all 439125 all 438995 all
awfully	1	3	55101 all 56340 all 54950 all
cheaply	1	3	284183 all 334210 all 466835 all
cleanly	1	3	230996 all 285447 all 285561 all
closely	1	3	505226 all 160440 all 160659 all
earlier	1	3	167286 all 60939 all 259096 all
endways	1	3	328992 all 329114 all 329230 all
promiscuously	1	2	433363 all 388944 all
questioningly	1	2	437976 all 357692 all
realistically	1	2	125481 all 215517 all
spasmodically	1	2	463471 all 463340 all
spontaneously	1	2	191889 all 88655 all
substantially	1	2	14285 all 379432 all
terrestrially	1	2	127534 all 404879 all
theologically	1	2	476247 all 476402 all
theoretically	1	2	170045 all 170188 all
thoughtlessly	1	2	216964 all 217245 all
transparently	1	2	480584 all 480751 all
unambiguously	1	2	175490 all 220490 all
unnecessarily	1	2	408498 all 179677 all
autocratically	1	2	203076 all 311430 all
distributively	1	2	320074 all 320237 all
illegitimately	1	2	362998 all 362650 all
inarticulately	1	2	268464 all 328025 all
linguistically	1	2	130833 all 131151 all
unquestionably	1	2	437576 all 36935 all
insignificantly	1	2	506442 all 6423 all
interrogatively	1	2	81881 all 380590 all
microscopically	1	2	78669 all 78905 all
perpendicularly	1	2	420382 all 452126 all
philosophically	1	2	132416 all 501606 all
psychologically	1	2	434921 all 435142 all
sympathetically	1	2	192007 all 192153 all
synergistically	1	2	515681 all 515803 all
tongue-in-cheek	1	2	85667 all 277728 all
unconditionally	1	2	292805 all 87188 all
unimaginatively	1	2	433637 all 209073 all
bureaucratically	1	2	280972 all 281099 all
enthusiastically	1	2	188779 all 456484 all
indiscriminately	1	2	433363 all 70765 all
melodramatically	1	2	399242 all 399389 all
disproportionately	1	2	318143 all 318501 all
ceremonially	1	2	220669 all 220966 all
consequently	1	2	62857 all 294459 all
continuously	1	2	282858 all 191656 all
deliberately	1	2	507323 all 62330 all
determinedly	1	2	262206 all 212208 all
disdainfully	1	2	282700 all 80534 all
domestically	1	2	321366 all 321524 all
face-to-face	1	2	44754 all 44861 all
fastidiously	1	2	416553 all 337681 all
fictitiously	1	2	102258 all 102367 all
historically	1	2	109569 all 109687 all
immeasurably	1	2	225264 all 398015 all
immoderately	1	2	36068 all 215373 all
impersonally	1	2	365980 all 366135 all
incidentally	1	2	156222 all 212411 all
indecisively	1	2	298560 all 298910 all
intolerantly	1	2	380994 all 380675 all
irreverently	1	2	383017 all 383271 all
legitimately	1	2	362831 all 363218 all
magnetically	1	2	89883 all 506096 all
mechanically	1	2	113904 all 114029 all
nonchalantly	1	2	243086 all 295545 all
obligatorily	1	2	288655 all 414750 all
outrageously	1	2	117508 all 117372 all
passionately	1	2	34945 all 209874 all
pathetically	1	2	418223 all 418077 all
perniciously	1	2	378212 all 277435 all
persistently	1	2	420679 all 272512 all
refreshingly	1	2	440121 all 440250 all
romantically	1	2	470531 all 444720 all
surprisingly	1	2	145228 all 213301 all
symbolically	1	2	126733 all 116280 all
theatrically	1	2	465008 all 188248 all
thoughtfully	1	2	216788 all 217105 all
unbelievably	1	2	244787 all 295825 all
unexpectedly	1	2	40547 all 40719 all
unmistakably	1	2	212062 all 454512 all
unofficially	1	2	244201 all 114461 all
unprofitably	1	2	433120 all 214084 all
unreasonably	1	2	216100 all 36068 all
unswervingly	1	2	489507 all 489670 all
voluptuously	1	2	493608 all 449308 all
automatically	1	2	5567 all 114029 all
bombastically	1	2	269588 all 269726 all
conspicuously	1	2	208390 all 370920 all
cross-country	1	2	293416 all 293543 all
deferentially	1	2	307906 all 308031 all
distastefully	1	2	319765 all 314141 all
eccentrically	1	2	513396 all 513500 all
geometrically	1	2	141775 all 90103 all
independently	1	2	180611 all 450647 all
inexpensively	1	2	284183 all 334210 all
magisterially	1	2	241383 all 311430 all
magnificently	1	2	182316 all 350163 all
outstandingly	1	2	107230 all 507053 all
pitter-patter	1	2	424724 all 424587 all
precipitously	1	2	429390 all 429534 all
atrociously	1	2	55101 all 117372 all
bilaterally	1	2	252872 all 252965 all
brilliantly	1	2	77042 all 77168 all
chaotically	1	2	283613 all 283743 all
chronically	1	2	140884 all 141033 all
defensively	1	2	306268 all 306520 all
deliciously	1	2	393688 all 228546 all
deliriously	1	2	308200 all 308307 all
desperately	1	2	506807 all 72849 all
effectively	1	2	326324 all 60032 all
emotionally	1	2	185567 all 185670 all
expansively	1	2	324589 all 504718 all
explosively	1	2	334396 all 334516 all
exuberantly	1	2	324589 all 335544 all
fractiously	1	2	344933 all 419144 all
generically	1	2	347346 all 347474 all
gracelessly	1	2	194362 all 179928 all
haphazardly	1	2	70765 all 353178 all
importantly	1	2	367682 all 367868 all
incessantly	1	2	282858 all 20280 all
incorrectly	1	2	204125 all 336065 all
inexcusably	1	2	333341 all 238794 all
insultingly	1	2	344312 all 379674 all
lightsomely	1	2	391143 all 391308 all
luxuriantly	1	2	389958 all 390147 all
luxuriously	1	2	357251 all 508521 all
momentarily	1	2	34403 all 92814 all
murderously	1	2	405016 all 273306 all
offhandedly	1	2	263427 all 263657 all
perpetually	1	2	227968 all 20280 all
pitty-patty	1	2	424724 all 424587 all
politically	1	2	115745 all 115859 all
ponderously	1	2	427134 all 427243 all
prematurely	1	2	429964 all 430105 all
primitively	1	2	431812 all 431941 all
professedly	1	2	189278 all 276528 all
religiously	1	2	178586 all 178460 all
respectably	1	2	442384 all 442218 all
senselessly	1	2	449016 all 401708 all
sorrowfully	1	2	321165 all 461755 all
straightway	1	2	467496 all 467596 all
thereabouts	1	2	467686 all 467810 all
topsy-turvy	1	2	163704 all 255854 all
truculently	1	2	481648 all 481785 all
turbulently	1	2	34945 all 482100 all
uncertainly	1	2	484462 all 174232 all
underground	1	2	486917 all 487018 all
unfeelingly	1	2	238529 all 339149 all
willy-nilly	1	2	70765 all 244578 all
articulately	1	2	268312 all 327848 all
capriciously	1	2	281491 all 281687 all
contrarily	1	2	247969 all 170412 all
covetously	1	2	276391 all 303177 all
criminally	1	2	291589 all 291765 all
dreadfully	1	2	56340 all 316486 all
eloquently	1	2	268312 all 327848 all
especially	1	2	84223 all 502710 all
externally	1	2	230331 all 249300 all
fecklessly	1	2	228253 all 163881 all
foursquare	1	2	231244 all 51017 all
gloriously	1	2	348911 all 349053 all
gracefully	1	2	194156 all 179807 all
gratefully	1	2	271264 all 199986 all
handsomely	1	2	352907 all 353052 all
implicitly	1	2	367259 all 367568 all
incisively	1	2	368287 all 370046 all
incredibly	1	2	32180 all 295825 all
inevitably	1	2	208557 all 112393 all
infinitely	1	2	224941 all 225264 all
informally	1	2	186246 all 286667 all
innocently	1	2	375810 all 375927 all
insatiably	1	2	376573 all 376761 all
insecurely	1	2	377334 all 377684 all
intimately	1	2	15007 all 160659 all
ironically	1	2	382507 all 382620 all
judicially	1	2	143257 all 514272 all
materially	1	2	136870 all 137011 all
mindlessly	1	2	401708 all 401893 all
moderately	1	2	35718 all 215237 all
nationally	1	2	407215 all 135667 all
negatively	1	2	4184 all 4288 all
officially	1	2	186491 all 114310 all
perversely	1	2	247859 all 247969 all
piercingly	1	2	50075 all 422435 all
pig-a-back	1	2	349309 all 349454 all
pleasantly	1	2	219110 all 219325 all
positively	1	2	511573 all 182199 all
powerfully	1	2	428245 all 427944 all
reasonably	1	2	215811 all 35718 all
remarkably	1	2	107230 all 454512 all
resignedly	1	2	264339 all 441740 all
resolutely	1	2	298765 all 241550 all
seasonably	1	2	273752 all 273892 all
shockingly	1	2	452328 all 452412 all
spitefully	1	2	309351 all 201339 all
splendidly	1	2	182316 all 350163 all
thankfully	1	2	199882 all 199986 all
thereabout	1	2	467686 all 467810 all
thoroughly	1	2	57257 all 57388 all
throughout	1	2	103087 all 257106 all
tortuously	1	2	479693 all 479790 all
trustfully	1	2	206035 all 320568 all
underneath	1	2	487408 all 487623 all
unsatiably	1	2	376573 all 376761 all
virtuously	1	2	364477 all 283873 all
viscerally	1	2	133221 all 511375 all
accordingly	1	2	62857 all 63089 all
logically	1	2	363463 all 363744 all
meanwhile	1	2	64946 all 65184 all
mockingly	1	2	301168 all 347860 all
mundanely	1	2	404749 all 404879 all
nervously	1	2	409200 all 409459 all
obliquely	1	2	274710 all 453580 all
obscenely	1	2	412321 all 388747 all
offhanded	1	2	263427 all 263657 all
otherwise	1	2	113082 all 46002 all
outwardly	1	2	230058 all 230331 all
overboard	1	2	506715 all 173131 all
overnight	1	2	244342 all 244449 all
painfully	1	2	509533 all 114609 all
perchance	1	2	300247 all 420004 all
perfectly	1	2	8997 all 9650 all
pickaback	1	2	349309 all 349454 all
piggyback	1	2	349309 all 349454 all
pit-a-pat	1	2	424724 all 424587 all
pitty-pat	1	2	424724 all 424587 all
presently	1	2	33922 all 48268 all
primarily	1	2	138410 all 73897 all
privately	1	2	162137 all 162645 all
profanely	1	2	432907 all 432751 all
pungently	1	2	435546 all 435666 all
quarterly	1	2	436848 all 436980 all
raucously	1	2	199333 all 445487 all
riotously	1	2	481933 all 335544 all
roguishly	1	2	444484 all 444599 all
seriously	1	2	165018 all 15953 all
sincerely	1	2	160086 all 378365 all
slap-bang	1	2	457288 all 457662 all
slenderly	1	2	396699 all 458270 all
southerly	1	2	462954 all 462859 all
specially	1	2	84223 all 502710 all
therefore	1	2	294459 all 43003 all
therefrom	1	2	43608 all 43794 all
thirstily	1	2	478175 all 200777 all
trivially	1	2	481300 all 481419 all
underfoot	1	2	245035 all 244918 all
underhand	1	2	486800 all 487138 all
unhappily	1	2	50556 all 42614 all
uppermost	1	2	490579 all 490678 all
uprightly	1	2	490798 all 490876 all
virtually	1	2	111451 all 73033 all
weightily	1	2	494522 all 494624 all
wholesale	1	2	260704 all 442774 all
yesterday	1	2	507716 all 507819 all
abominably	1	2	55101 all 309632 all
absolutely	1	2	7488 all 8997 all
accurately	1	2	204523 all 204798 all
apparently	1	2	39941 all 39318 all
believably	1	2	244641 all 296131 all
cautiously	1	2	292503 all 282103 all
cerebrally	1	2	133321 all 133413 all
chemically	1	2	129089 all 129228 all
completely	1	2	8007 all 157624 all
constantly	1	2	20280 all 20476 all
remotely	1	2	440845 all 440745 all
savagely	1	2	201195 all 201467 all
scarcely	1	2	2621 all 3093 all
secretly	1	2	162473 all 166608 all
sexually	1	2	136469 all 136561 all
shabbily	1	2	450753 all 450893 all
signally	1	2	454512 all 454647 all
slapdash	1	2	457545 all 277585 all
slightly	1	2	36291 all 458270 all
smoothly	1	2	210446 all 458454 all
sociably	1	2	350930 all 460439 all
socially	1	2	126527 all 126638 all
somewhat	1	2	36291 all 35718 all
steadily	1	2	50186 all 174491 all
strongly	1	2	428245 all 177289 all
supinely	1	2	471498 all 471640 all
terribly	1	2	55101 all 54950 all
upstairs	1	2	94545 all 94675 all
verbally	1	2	128456 all 128554 all
wantonly	1	2	494336 all 388944 all
westerly	1	2	324358 all 324470 all
artlessly	1	2	274527 all 274369 all
backstage	1	2	276729 all 276840 all
backwards	1	2	75966 all 74407 all
bimonthly	1	2	255181 all 255075 all
carefully	1	2	153568 all 282103 all
crosswise	1	2	293077 all 272844 all
cunningly	1	2	293926 all 297112 all
curiously	1	2	81881 all 35491 all
digitally	1	2	123000 all 123112 all
dubiously	1	2	322112 all 437796 all
elegantly	1	2	327408 all 327601 all
extremely	1	2	89408 all 46299 all
fearfully	1	2	505744 all 199565 all
genuinely	1	2	269153 all 37226 all
hereunder	1	2	33237 all 355896 all
honorably	1	2	490876 all 315457 all
hopefully	1	2	200146 all 200243 all
illicitly	1	2	362998 all 154536 all
incurably	1	2	371432 all 371541 all
instantly	1	2	33421 all 48739 all
irritably	1	2	186644 all 216592 all
jealously	1	2	303177 all 383693 all
laterally	1	2	386587 all 386765 all
liberally	1	2	196692 all 196874 all
literally	1	2	340133 all 111269 all
somehow	1	2	26137 all 26416 all
soundly	1	2	57388 all 57892 all
stiffly	1	2	194578 all 186142 all
tardily	1	2	161630 all 100267 all
tastily	1	2	474062 all 474385 all
thereof	1	2	468024 all 43794 all
tightly	1	2	92569 all 300137 all
upwards	1	2	96333 all 96636 all
visibly	1	2	193652 all 382287 all
wrongly	1	2	204125 all 204906 all
amidship	1	2	273238 all 402030 all
annually	1	2	81737 all 250570 all
avowedly	1	2	184284 all 276528 all
biweekly	1	2	254851 all 254711 all
biyearly	1	2	255315 all 279050 all
casually	1	2	243086 all 263893 all
daintily	1	2	304173 all 304283 all
daringly	1	2	304425 all 304561 all
decently	1	2	247194 all 196203 all
dismally	1	2	316486 all 316734 all
downhill	1	2	322423 all 322533 all
downwind	1	2	95063 all 94765 all
edgeways	1	2	325343 all 325493 all
edgewise	1	2	325343 all 325493 all
entirely	1	2	8007 all 8600 all
evermore	1	2	332596 all 87542 all
famously	1	2	182316 all 336789 all
farthest	1	2	30654 all 30914 all
fiercely	1	2	245588 all 245402 all
flashily	1	2	341051 all 400722 all
foremost	1	2	254614 all 102736 all
formally	1	2	186366 all 186491 all
forwards	1	2	67265 all 74641 all
furthest	1	2	30654 all 30914 all
heartily	1	2	209381 all 219855 all
honestly	1	2	314384 all 314835 all
insanely	1	2	80890 all 46639 all
jokingly	1	2	384207 all 85667 all
lavishly	1	2	335345 all 187617 all
lawfully	1	2	363218 all 251820 all
mightily	1	2	32299 all 91139 all
momently	1	2	34403 all 92814 all
offstage	1	2	259573 all 259653 all
overhead	1	2	249447 all 249641 all
overseas	1	2	416084 all 181676 all
placidly	1	2	423098 all 423243 all
possibly	1	2	300247 all 300496 all
probably	1	2	138611 all 296131 all
properly	1	2	505450 all 196203 all
publicly	1	2	161932 all 162765 all
quaintly	1	2	436409 all 436531 all
athwart	1	2	274710 all 276145 all
besides	1	2	29037 all 47534 all
between	1	2	498387 all 250898 all
blindly	1	2	64189 all 173992 all
briefly	1	2	289860 all 92682 all
broadly	1	2	221795 all 221583 all
crudely	1	2	274527 all 161523 all
cruelly	1	2	232425 all 232499 all
densely	1	2	299753 all 323315 all
dirtily	1	2	312377 all 312520 all
equally	1	2	22131 all 332069 all
falsely	1	2	336065 all 336293 all
farther	1	2	29639 all 29985 all
freshly	1	2	112601 all 366490 all
gravely	1	2	15953 all 183823 all
handily	1	2	147785 all 197395 all
happily	1	2	50297 all 42484 all
harshly	1	2	350521 all 353796 all
head-on	1	2	218179 all 218267 all
ineptly	1	2	228253 all 228417 all
instead	1	2	63172 all 98714 all
inwards	1	2	258549 all 501990 all
jerkily	1	2	463471 all 384101 all
jointly	1	2	117082 all 197710 all
largely	1	2	6105 all 65359 all
legally	1	2	124611 all 251820 all
locally	1	2	135314 all 135418 all
mistily	1	2	232600 all 403052 all
morally	1	2	134203 all 364477 all
murkily	1	2	405169 all 211964 all
nakedly	1	2	406288 all 406470 all
offhand	1	2	263427 all 263657 all
outside	1	2	110659 all 110919 all
plainly	1	2	5055 all 39318 all
queerly	1	2	437246 all 437381 all
readily	1	2	105341 all 161193 all
roundly	1	2	228815 all 279523 all
shakily	1	2	451122 all 451291 all
showily	1	2	415277 all 341051 all
solidly	1	2	231138 all 231336 all
calmly	1	2	186756 all 448066 all
darkly	1	2	206144 all 206271 all
deadly	1	2	304898 all 46639 all
deeply	1	2	305570 all 173353 all
deftly	1	2	310533 all 299059 all
doubly	1	2	83393 all 83947 all
dumbly	1	2	323193 all 323315 all
evenly	1	2	332069 all 331194 all
feebly	1	2	338704 all 338837 all
foully	1	2	344208 all 344312 all
hardly	1	2	2621 all 3093 all
hazily	1	2	354319 all 354425 all
humbly	1	2	110286 all 397466 all
indeed	1	2	37470 all 37641 all
inward	1	2	258549 all 501990 all
justly	1	2	205226 all 205375 all
lazily	1	2	361781 all 387525 all
meekly	1	2	110414 all 110286 all
mildly	1	2	33562 all 502847 all
mostly	1	2	6105 all 155621 all
nearly	1	2	73033 all 160659 all
onward	1	2	103859 all 67265 all
orally	1	2	156496 all 156654 all
palely	1	2	416996 all 417139 all
presto	1	2	61899 all 61814 all
sanely	1	2	81194 all 215811 all
singly	1	2	83541 all 207668 all
slowly	1	2	161630 all 388494 all
sooner	1	2	259096 all 115554 all
sorely	1	2	509533 all 461617 all
stably	1	2	515298 all 515429 all
uphill	1	2	490410 all 490498 all
upward	1	2	96333 all 96636 all
upwind	1	2	94893 all 95195 all
warmly	1	2	432314 all 219855 all
withal	1	2	27384 all 40494 all
apropos	1	2	273752 all 156222 all
askance	1	2	271751 all 271899 all
astride	1	2	276076 all 275974 all
alike	1	2	69603 all 69672 all
alone	1	2	8600 all 157967 all
aloud	1	2	69771 all 69901 all
amain	1	2	273048 all 273133 all
amply	1	2	178909 all 397016 all
amuck	1	2	273306 all 273504 all
clean	1	2	285092 all 9373 all
clear	1	2	285687 all 285854 all
close	1	2	505226 all 409709 all
daily	1	2	81486 all 177818 all
dully	1	2	236294 all 236393 all
flush	1	2	87367 all 87449 all
never	1	2	20759 all 20997 all
oddly	1	2	437381 all 35491 all
rough	1	2	353916 all 354033 all
sheer	1	2	452052 all 452126 all
stiff	1	2	466652 all 186142 all
thick	1	2	476962 all 478040 all
tight	1	2	505226 all 86404 all
today	1	2	207366 all 48475 all
twice	1	2	83393 all 65294 all
across	1	2	272844 all 272951 all
adrift	1	2	267558 all 267704 all
anyhow	1	2	26571 all 27258 all
anyway	1	2	26571 all 27258 all
aslant	1	2	274710 all 274962 all
asleep	1	2	275035 all 275127 all
astray	1	2	206386 all 495858 all
barely	1	2	2621 all 73763 all
before	1	2	66781 all 60939 all
better	1	2	59607 all 509846 all
by	1	2	233687 all 417787 all
bad	1	2	16240 all 16458 all
too	1	2	47392 all 47534 all
amok	1	2	273306 all 273504 all
anon	1	2	33809 all 35320 all
awry	1	2	271998 all 272169 all
bolt	1	2	194578 all 277585 all
dead	1	2	61528 all 8997 all
dear	1	2	77619 all 77747 all
fair	1	2	106759 all 285092 all
fast	1	2	86000 all 86404 all
fine	1	2	53004 all 102463 all
flat	1	2	58128 all 341227 all
flop	1	2	58033 all 342024 all
good	1	2	11093 all 57388 all
last	1	2	65748 all 65822 all
less	1	2	99527 all 99868 all
long	1	2	166025 all 166318 all
more	1	2	99341 all 99712 all
near	1	2	73033 all 409709 all
nigh	1	2	73033 all 409709 all
plum	1	2	9373 all 9541 all
slow	1	2	222879 all 161630 all
thus	1	2	121135 all 43003 all
very	1	2	31899 all 510749 all
wild	1	2	174870 all 439257 all
aback	1	2	75656 all 75739 all
above	1	2	79947 all 80169 all
after	1	2	61203 all 508070 all
ad	1	1	1837 all
as	1	1	22131 all
bc	1	1	2142 all
ce	1	1	1981 all
cf	1	1	191467 all
ie	1	1	191579 all
in	1	1	501990 all
ok	1	1	53004 all
aft	1	1	275409 all
ago	1	1	74095 all
all	1	1	8007 all
any	1	1	24509 all
bce	1	1	2296 all
but	1	1	4722 all
cf.	1	1	191467 all
cod	1	1	253938 all
con	1	1	289294 all
due	1	1	52152 all
ib.	1	1	255976 all
low	1	1	393149 all
nay	1	1	407679 all
new	1	1	112601 all
non	1	1	24073 all
not	1	1	24073 all
oft	1	1	35058 all
pat	1	1	9859 all
pop	1	1	427394 all
prn	1	1	181418 all
pro	1	1	289204 all
sic	1	1	146500 all
way	1	1	101752 all
yea	1	1	497560 all
yon	1	1	82308 all
a.d.	1	1	1837 all
a.m.	1	1	251304 all
abed	1	1	229216 all
ably	1	1	185172 all
afar	1	1	100883 all
alas	1	1	42769 all
alee	1	1	270218 all
also	1	1	47534 all
anew	1	1	112843 all
asap	1	1	34137 all
asea	1	1	447578 all
atop	1	1	276225 all
b.c.	1	1	2142 all
bang	1	1	277585 all
c.e.	1	1	1981 all
damn	1	1	25144 all
duly	1	1	64691 all
e'en	1	1	18265 all
e'er	1	1	19339 all
e.g.	1	1	159040 all
each	1	1	239908 all
east	1	1	323786 all
ergo	1	1	43347 all
erst	1	1	118965 all
etc.	1	1	103664 all
fain	1	1	348110 all
firm	1	1	50817 all
fore	1	1	275694 all
free	1	1	358021 all
full	1	1	10466 all
half	1	1	7884 all
i.e.	1	1	191579 all
idly	1	1	361781 all
item	1	1	256565 all
left	1	1	387666 all
lief	1	1	348110 all
live	1	1	259019 all
lots	1	1	59171 all
loud	1	1	69901 all
next	1	1	54212 all
none	1	1	24682 all
o'er	1	1	226458 all
o.k.	1	1	15471 all
okay	1	1	15471 all
orad	1	1	172775 all
p.a.	1	1	250570 all
p.m.	1	1	251408 all
part	1	1	7703 all
past	1	1	417787 all
plop	1	1	426140 all
real	1	1	31899 all
slap	1	1	277585 all
soft	1	1	148139 all
solo	1	1	157967 all
some	1	1	7015 all
soon	1	1	33922 all
such	1	1	147386 all
sure	1	1	144722 all
thin	1	1	477814 all
true	1	1	184284 all
unco	1	1	107230 all
viz.	1	1	188510 all
warm	1	1	432314 all
west	1	1	323908 all
yeah	1	1	497560 all
abaft	1	1	275409 all
abeam	1	1	75881 all
afoot	1	1	239064 all
again	1	1	40365 all
alias	1	1	270446 all
aloof	1	1	122816 all
apace	1	1	85811 all
aptly	1	1	185172 all
askew	1	1	272169 all
awful	1	1	54950 all
chock	1	1	253609 all
coyly	1	1	291916 all
doggo	1	1	252249 all
dolce	1	1	513248 all
drily	1	1	231457 all
dryly	1	1	231457 all
extra	1	1	84759 all
false	1	1	335809 all
fitly	1	1	139508 all
forte	1	1	343799 all
fresh	1	1	112601 all
gaily	1	1	163236 all
gayly	1	1	50297 all
haply	1	1	353485 all
heaps	1	1	355080 all
heavy	1	1	355615 all
hotly	1	1	355291 all
ibid.	1	1	255976 all
icily	1	1	360844 all
infra	1	1	258282 all
jolly	1	1	35718 all
kinda	1	1	18302 all
largo	1	1	65486 all
laxly	1	1	387254 all
least	1	1	111758 all
lento	1	1	388494 all
light	1	1	390941 all
loose	1	1	358021 all
manly	1	1	390576 all
maybe	1	1	300247 all
molto	1	1	403175 all
ne'er	1	1	20759 all
needs	1	1	112393 all
newly	1	1	112601 all
nobly	1	1	410426 all
nohow	1	1	410520 all
north	1	1	244043 all
piano	1	1	343660 all
plain	1	1	39318 all
plump	1	1	426278 all
plunk	1	1	426140 all
quick	1	1	105603 all
quiet	1	1	229568 all
redly	1	1	506216 all
round	1	1	71456 all
sharp	1	1	503102 all
shyly	1	1	228910 all
slyly	1	1	293926 all
smack	1	1	277585 all
small	1	1	225971 all
smash	1	1	458932 all
so-so	1	1	55312 all
south	1	1	243938 all
stark	1	1	465341 all
super	1	1	46299 all
supra	1	1	79947 all
sweet	1	1	472323 all
third	1	1	102986 all
wanly	1	1	494224 all
whole	1	1	8007 all
worse	1	1	17077 all
worst	1	1	17241 all
wrong	1	1	204125 all
wryly	1	1	224843 all
'tween	1	1	250898 all
a.k.a.	1	1	270446 all
aborad	1	1	172875 all
adagio	1	1	265059 all
afresh	1	1	112843 all
ahorse	1	1	2436 all
airily	1	1	341835 all
akimbo	1	1	270110 all
almost	1	1	73033 all
apiece	1	1	239908 all
archly	1	1	274160 all
aright	1	1	203922 all
ashore	1	1	139173 all
avidly	1	1	267137 all
awhile	1	1	144405 all
b.c.e.	1	1	2296 all
baldly	1	1	277209 all
basely	1	1	397720 all
belike	1	1	138611 all
bitter	1	1	422435 all
bloody	1	1	25144 all
bodily	1	1	226353 all
boldly	1	1	185051 all
bright	1	1	77168 all
busily	1	1	208273 all
c.o.d.	1	1	253938 all
cagily	1	1	281237 all
caudal	1	1	505521 all
closer	1	1	407802 all
coldly	1	1	164890 all
coolly	1	1	295545 all
cosily	1	1	187120 all
course	1	1	38625 all
cozily	1	1	187120 all
curtly	1	1	297319 all
cutely	1	1	297112 all
daftly	1	1	303930 all
damned	1	1	297563 all
damply	1	1	297741 all
decent	1	1	196203 all
direct	1	1	51848 all
dourly	1	1	242321 all
drably	1	1	322666 all
eerily	1	1	325802 all
either	1	1	24893 all
enough	1	1	145713 all
evilly	1	1	144586 all
faster	1	1	86528 all
flatly	1	1	87188 all
fondly	1	1	229074 all
forrad	1	1	74641 all
fourth	1	1	344771 all
foxily	1	1	293926 all
freely	1	1	210651 all
gamely	1	1	346822 all
gladly	1	1	348110 all
glibly	1	1	238417 all
glumly	1	1	242321 all
goddam	1	1	349967 all
gratis	1	1	258175 all
grayly	1	1	351040 all
greyly	1	1	351040 all
grimly	1	1	108137 all
hereby	1	1	255614 all
herein	1	1	108913 all
hereof	1	1	356233 all
hereto	1	1	356320 all
hither	1	1	108647 all
hourly	1	1	358985 all
hugely	1	1	196540 all
ibidem	1	1	255976 all
inland	1	1	258360 all
keenly	1	1	385081 all
kindly	1	1	4394 all
lamely	1	1	385689 all
lastly	1	1	65822 all
lately	1	1	107416 all
legato	1	1	387983 all
lewdly	1	1	388747 all
likely	1	1	138611 all
limply	1	1	391575 all
little	1	1	100002 all
longer	1	1	392690 all
lowest	1	1	393240 all
mainly	1	1	73897 all
mayhap	1	1	300247 all
mellow	1	1	398843 all
merely	1	1	4722 all
midway	1	1	255415 all
mighty	1	1	32299 all
mutely	1	1	112090 all
namely	1	1	188510 all
nearby	1	1	71321 all
nearer	1	1	407802 all
neatly	1	1	180057 all
nicely	1	1	187028 all
nigher	1	1	407802 all
nimbly	1	1	189615 all
nowise	1	1	411570 all
numbly	1	1	411427 all
openly	1	1	53394 all
overly	1	1	47392 all
partly	1	1	7703 all
passim	1	1	257106 all
pertly	1	1	366490 all
piping	1	1	422842 all
plaguy	1	1	425330 all
please	1	1	9966 all
plenty	1	1	145713 all
poorly	1	1	11516 all
pretty	1	1	35718 all
primly	1	1	431649 all
pronto	1	1	105341 all
punily	1	1	435803 all
purely	1	1	179112 all
racily	1	1	438483 all
rarely	1	1	35385 all
rashly	1	1	354642 all
raving	1	1	439472 all
retail	1	1	442669 all
ripely	1	1	441911 all
rudely	1	1	218681 all
safely	1	1	154213 all
sagely	1	1	201570 all
scarce	1	1	2621 all
second	1	1	102881 all
seldom	1	1	35385 all
